Numero,NomArabe,NomFrancais,Categorie,Lu,Date
1,Al-Fatiha,L'Ouverture,Longue,Non,
2,Al-Baqara,La Vache,Longue,Non,
3,Al-Imran,La Famille d'Imran,Longue,Non,
4,An-Nisa,Les Femmes,Longue,Non,
5,Al-Ma'idah,La Table Servie,Longue,Non,
6,Al-An'am,Les Bestiaux,Longue,Non,
7,Al-A'raf,Les Murailles,Longue,Non,
8,Al-Anfal,Le Butin,Longue,Non,
9,At-Tawbah,Le Repentir,Longue,Non,
10,Yunus,Jonas,Longue,Non,
11,Hud,Hud,Longue,Non,
12,Yusuf,Joseph,Longue,Non,
13,Ar-Ra'd,Le Tonnerre,Longue,Non,
14,Ibrahim,Abraham,Longue,Non,
15,Al-Hijr,Al-Hijr,Longue,Non,
16,An-Nahl,Les Abeilles,Longue,Non,
17,Al-Isra,Le Voyage Nocturne,Longue,Non,
18,Al-Kahf,La Caverne,Longue,Non,
19,Maryam,Marie,Moyenne,Non,
20,Ta-Ha,Ta-Ha,Moyenne,Non,
21,Al-Anbiya,Les Prophètes,Moyenne,Non,
22,Al-Hajj,Le Pèlerinage,Moyenne,Non,
23,Al-Mu'minun,Les Croyants,Moyenne,Non,
24,An-Nur,La Lumière,Moyenne,Non,
25,Al-Furqan,Le Discernement,Moyenne,Non,
26,Ash-Shu'ara,Les Poètes,Moyenne,Non,
27,An-Naml,Les Fourmis,Moyenne,Non,
28,Al-Qasas,Le Récit,Moyenne,Non,
29,Al-Ankabut,L'Araignée,Moyenne,Non,
30,Ar-Rum,Les Romains,Moyenne,Non,
31,Luqman,Luqman,Moyenne,Non,
32,As-Sajda,La Prosternation,Moyenne,Non,
33,Al-Ahzab,Les Coalisés,Moyenne,Non,
34,Saba,Saba,Moyenne,Non,
35,Fatir,Le Créateur,Moyenne,Non,
36,Ya-Sin,Ya-Sin,Moyenne,Non,
37,As-Saffat,Les Rangés,Moyenne,Non,
38,Sad,Sad,Moyenne,Non,
39,Az-Zumar,Les Groupes,Moyenne,Non,
40,Ghafir,Le Pardonneur,Moyenne,Non,
41,Fussilat,Les Versets Détaillés,Moyenne,Non,
42,Ash-Shura,La Consultation,Moyenne,Non,
43,Az-Zukhruf,L'Ornement,Moyenne,Non,
44,Ad-Dukhan,La Fumée,Moyenne,Non,
45,Al-Jathiya,L'Agenouillée,Moyenne,Non,
46,Al-Ahqaf,Les Dunes,Moyenne,Non,
47,Muhammad,Muhammad,Moyenne,Non,
48,Al-Fath,La Victoire Éclatante,Moyenne,Non,
49,Al-Hujurat,Les Appartements,Moyenne,Non,
50,Qaf,Qaf,Moyenne,Non,
51,Adh-Dhariyat,Qui Éparpillent,Moyenne,Non,
52,At-Tur,Le Mont,Moyenne,Non,
53,An-Najm,L'Étoile,Moyenne,Non,
54,Al-Qamar,La Lune,Moyenne,Non,
55,Ar-Rahman,Le Tout Miséricordieux,Moyenne,Non,
56,Al-Waqi'a,L'Événement,Moyenne,Non,
57,Al-Hadid,Le Fer,Moyenne,Non,
58,Al-Mujadila,La Discussion,Moyenne,Non,
59,Al-Hashr,L'Exode,Moyenne,Non,
60,Al-Mumtahana,L'Éprouvée,Moyenne,Non,
61,As-Saff,Le Rang,Moyenne,Non,
62,Al-Jumu'a,Le Vendredi,Moyenne,Non,
63,Al-Munafiqun,Les Hypocrites,Moyenne,Non,
64,At-Taghabun,La Grande Perte,Moyenne,Non,
65,At-Talaq,Le Divorce,Moyenne,Non,
66,At-Tahrim,L'Interdiction,Moyenne,Non,
67,Al-Mulk,La Royauté,Courte,Non,
68,Al-Qalam,La Plume,Courte,Non,
69,Al-Haqqah,L'Inévitable,Courte,Non,
70,Al-Ma'arij,Les Voies d'Ascension,Courte,Non,
71,Nuh,Noé,Courte,Oui,2026-05-01
72,Al-Jinn,Les Djinns,Courte,Non,
73,Al-Muzzammil,L'Enveloppé,Courte,Non,
74,Al-Muddathir,Le Revêtu d'un Manteau,Courte,Non,
75,Al-Qiyama,La Résurrection,Courte,Non,
76,Al-Insan,L'Homme,Courte,Non,
77,Al-Mursalat,Les Envoyés,Courte,Non,
78,An-Naba,La Nouvelle,Courte,Non,
79,An-Nazi'at,Les Anges Qui Arrachent,Courte,Non,
80,Abasa,Il S'est Renfrogné,Courte,Oui,2026-05-01
81,At-Takwir,L'Obscurcissement,Courte,Non,
82,Al-Infitar,La Rupture,Courte,Non,
83,Al-Mutaffifin,Les Fraudeurs,Courte,Non,
84,Al-Inshiqaq,La Déchirure,Courte,Oui,2026-05-01
85,Al-Buruj,Les Constellations,Courte,Non,
86,At-Tariq,L'Astre Nocturne,Courte,Non,
87,Al-A'la,Le Très-Haut,Courte,Oui,2026-05-01
88,Al-Ghashiya,L'Enveloppante,Courte,Non,
89,Al-Fajr,L'Aube,Courte,Non,
90,Al-Balad,La Cité,Courte,Non,
91,Ash-Shams,Le Soleil,Courte,Non,
92,Al-Layl,La Nuit,Courte,Non,
93,Ad-Duha,Le Jour Montant,Courte,Non,
94,Ash-Sharh,L'Ouverture de la Poitrine,Courte,Non,
95,At-Tin,Le Figuier,Courte,Non,
96,Al-Alaq,L'Adhérence,Courte,Non,
97,Al-Qadr,La Destinée,Courte,Non,
98,Al-Bayyina,La Preuve,Courte,Non,
99,Az-Zalzala,La Secousse,Courte,Non,
100,Al-Adiyat,Les Coursiers,Courte,Non,
101,Al-Qari'a,Le Fracas,Courte,Non,
102,At-Takathur,La Course aux Richesses,Courte,Non,
103,Al-Asr,Le Temps,TresCourte,Non,
104,Al-Humaza,Les Calomniateurs,TresCourte,Non,
105,Al-Fil,L'Éléphant,TresCourte,Oui,2026-05-01
106,Quraysh,Quraysh,TresCourte,Non,
107,Al-Ma'un,L'Ustensile,TresCourte,Non,
108,Al-Kawthar,L'Abondance,TresCourte,Non,
109,Al-Kafirun,Les Mécréants,TresCourte,Non,
110,An-Nasr,Le Secours,TresCourte,Non,
111,Al-Masad,Les Fibres,TresCourte,Non,
112,Al-Ikhlas,Le Monothéisme Pur,TresCourte,Non,
113,Al-Falaq,L'Aube Naissante,TresCourte,Non,
114,An-Nas,Les Hommes,TresCourte,Oui,2026-05-01
